INFO  | 2023-04-23 15:20:21 | [main] bankapp.Hello (Hello.java:9) - hello to logging
WARN  | 2023-04-30 09:13:10 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:592) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'm' defined in file [/home/raj/Documents/bca_april_23/module1/spring_core/11_aop_basics/target/classes/demo/Magician.class]: Could not generate CGLIB subclass of class demo.Magician: Common causes of this problem include using a final class or a non-visible class
WARN  | 2023-04-30 09:30:40 | [main] core.LocalVariableTableParameterNameDiscoverer (LocalVariableTableParameterNameDiscoverer.java:123) - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: demo.AudianceAdvice
WARN  | 2023-04-30 09:31:11 | [main] core.LocalVariableTableParameterNameDiscoverer (LocalVariableTableParameterNameDiscoverer.java:123) - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: demo.AudianceAdvice
WARN  | 2023-04-30 09:31:54 | [main] core.LocalVariableTableParameterNameDiscoverer (LocalVariableTableParameterNameDiscoverer.java:123) - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: demo.AudianceAdvice
WARN  | 2023-04-30 09:33:15 | [main] core.LocalVariableTableParameterNameDiscoverer (LocalVariableTableParameterNameDiscoverer.java:123) - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: demo.AudianceAdvice
WARN  | 2023-04-30 09:37:15 | [main] core.LocalVariableTableParameterNameDiscoverer (LocalVariableTableParameterNameDiscoverer.java:123) - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: demo.AudianceAdvice
WARN  | 2023-04-30 09:37:39 | [main] core.LocalVariableTableParameterNameDiscoverer (LocalVariableTableParameterNameDiscoverer.java:123) - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: demo.AudianceAdvice
WARN  | 2023-04-30 09:38:28 | [main] core.LocalVariableTableParameterNameDiscoverer (LocalVariableTableParameterNameDiscoverer.java:123) - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: demo.AudianceAdvice
WARN  | 2023-04-30 09:52:35 | [main] support.AbstractApplicationContext (AbstractApplicationContext.java:592) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'm' defined in file [/home/raj/Documents/bca_april_23/module1/spring_core/11_aop_basics/target/classes/demo/Magician.class]: Pointcut is not well-formed: expecting 'name pattern' at character position 20
execution(  doMagic())
                    ^

